interface,name,entity_type,arguments,idl_type,syntactic_form,use_counter,secure_context,high_entropy,source_file,source_line
AppHistoryNavigateEvent,destination,attribute,,AppHistoryDestination,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,formData,attribute,,FormDataOrNull,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,hashChange,attribute,,Boolean,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,info,attribute,,Any,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,isTrusted,attribute,,Boolean,,,,,third_party/blink/renderer/core/dom/events/event.idl,
AppHistoryNavigateEvent,navigationType,attribute,,AppHistoryNavigationType,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,signal,attribute,,AbortSignal,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,transitionWhile,operation,(AnyPromise),Void,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryNavigateEvent,userInitiated,attribute,,Boolean,,,,,third_party/blink/renderer/core/app_history/app_history_navigate_event.idl,
AppHistoryTransition,,interface,,,,,,,third_party/blink/renderer/core/app_history/app_history_transition.idl,3
AppHistoryTransition,from,attribute,,AppHistoryEntry,,,,,third_party/blink/renderer/core/app_history/app_history_transition.idl,
AppHistoryTransition,navigationType,attribute,,AppHistoryNavigationType,,,,,third_party/blink/renderer/core/app_history/app_history_transition.idl,
ApplicationCache,,interface,,,,,True,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,33
ApplicationCache,CHECKING,constant,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,37
ApplicationCache,DOWNLOADING,constant,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,38
ApplicationCache,IDLE,constant,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,36
ApplicationCache,OBSOLETE,constant,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,40
ApplicationCache,UNCACHED,constant,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,35
